OBJECTID,ID_No,Name,Name_Other,Components,Part_of,Rec_Type,Rec_Note,Country,State_Prov,Latitude,Longitude,Loc_Note,Dep_Type,Dep_Note,Dep_Form,Commods,HREE_Note,LREE_Note,REE_Ratio,REE,Status,Stat_Note,REE_Mins,Sig_Mins,Oth_Mins,Age_Mzn,Age_Ma,Host_Age,HAge_Ma,Host_Lith,Host_Unit,Assoc_Rock,Alteration,Company,Comments,Ref_List,Discov_Yr,Expl_Note,Mine_Meth,P_Status,PStat_Note,P_Years,P_refs,P_Note,RR_Ore_Mt,RR_TREO_Mt,RR_TREOgrd,RR_REE_grd,RR_Cutoff,RR_HM_Mt,RR_HM_pct,RR_min_Mt,RR_min_pct,RR_mon_Mt,RR_mon_pct,RR_oth_grd,RR_Yr_Est,RR_Refs,RR_RegCode,RR_Note,Region
866,8143,Ilimaussaq, ,"hosts Kvanefjeld, Kringleme, Sørensen, Steenstrupfjeld, Zone 3, and Tanbreez deposits", ,intrusion or complex, ,Greenland,Kommune Kujalleq,60.9667,-45.9167, ,alkaline igneous,alkalic igneous, ,"REE, U, Th, Nb, Ta, Be, Zr, F, Li, Sn", , , , ,Deposit, ,"steenstrupine, eudialyte; minor rinkite, monazite, apatite, britholite","lueshite, pyrochlore, aenigmatite, fluorite, zeolite, sphalerite, Li-mica, epistolite-murmenite, astrophyllite, villiaumite, stannite, chkalovite","microcline, albite, nepheline, hedenbergite, katophorite, fayalite, alkali pyroxene, biotite, sodalite, aegirine, arfvedsonite",Mesoproterozoic,,Mesoproterozoic,1130 ± 50 Ma (Sm-Nd isochron),"agpaitic nepheline syenite, arfvedsonite lujavrite, pulaskite, foyaite",,,,Highwood Resources Ltd.,One of the ten alkaline intrusions of the Gardar Complex. Apatite containing >16.0 weight percent REO has been identified. U-Be-Zr-Nb mineralization. Jackson and Christiansen (1993) classify as carbonatite.,Castor (1994); Chakhmouradian (1996); GEUS (2014); Jackson and Christiansen (1993); Laval (1992); Mariano (1989); Möller (1989a); Pell (1996); Platt (1996a); Schonwandt and others (2014); Sorensen and others (1978); Woolley (1987),,,,No production,,,,,>6.6,,3,0.2% Y2O3,,,,,,,,,1994,Pell (1996),Not compliant,,Europe
868,8238,Jahodne, , , ,site, ,Slovakia,Trnavsky kraj,48.496,17.364, ,uranium deposit,uraniferous sandstone, ,"U, Cu, REE", , , , ,Occurrence, ,"monazite, xenotime","apatite, chalcopyrite, galena, goethite, (leucoxene), loellingite, rutile, tennantite, torbernite, uraninite",,,,,,"conglomerate, sandstone, tuff",Maluzina Fm,,,,,ProMine (2013),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
869,8033,Jammi,Jammivuotso, ,Sokli,district or area,geologic deposit,Finland,Lapin lääni,67.7703,29.3437, ,carbonatite,carbonatite associated,"veins, dikes","P, REE, F, Sr, Ba, Nb, Ta, Zr, U", , , , ,Occurrence, ,"bastnäsite-(Ce), ancylite-(Ce), monazite, calcioancylite, allanite, fluorapatite, Sr-bearing apatite, strontianite, barite, parisite(?)","fluorapatite, Sr-apatite, strontianite, barite, brabanite","calcite, dolomite, aegirine, apatite",Devonian,,Archean,,"fenite, carbonatite",,"Sokli carbonatite, fenite, volcanic and sedimentary rock",,,,Al-Ani and Sarapää (2009a); Al-Ani and Sarapää (2011a); Al-Ani and Sarapää (2013); Sarapää and others (2013),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
870,8269,Johanna,"Johannagruven, Bojmossefältet", ,"Riddarhyttan district, Bojmossfältet mining field",site,historic Fe mine,Sweden,Västmanlands län,60.0599,15.91396,Estimated location.,other igneous deposit,"Fe oxide deposit with REE skarn, contact metamorphism", ,"Fe, REE, Mn, P", , , , ,Occurrence(?), ,"allanite-(Ce), cerite-(Ce), västmanlandite-(Ce), bastnäsite, dollaseite-(Ce), gadolinite",magnetite,"tremolite, talc",Paleoproterozoic,,Paleoproterozoic,,"dolomitic carbonate rock, iron formation(?)",,,,,,Finland Geological Survey (2012); Hallberg and others (2012); Holtstam (2004);  Jonsson and others (2014),,,,No production(?),,,,,,,,,,,,,,,,,,,,,Europe
871,8226,Jolotca, , ,Ditrău Complex,district or area, ,Romania,Harghita,46.8782,25.5273, ,alkaline igneous, ,veins,"Ti, Nb, REE, Mo", , , , ,Occurrence, ,"monazite-(Ce), allanite-(Ce), cerite-(Ce), chevkinite-(Ce), törnebohmite-(Ce), stillwellite-(Ce), tritomite-(Ce), britholite-(Ce), euxenite-(Y), bastnäsite, parisite, xenotime","molybdenite, chalcopyrite, galena, sphalerite, siderite, pyrite","apatite, niter, quartz, ankerite, calcite, chlorite",Jurassic,,Triassic,,"diorite, hornblendite, syenite",Ditrau alkaline massif(?),,,,,Hirtopanu and others (2013); ProMine (2013); Săbău (2009),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
872,8034,Juomasuo, , ,Kuusamo,site,Co mine,Finland,Pohjois-Pohjanmaa lääni,66.2888,29.1995, ,sedimentary, , ,"Co, Au, Cu, Mo, Ni, Fe, REE, U, Ag", , , , ,Occurrence, ,"allanite, monazite, bastnäsite","pyrite, calaverite, cobaltite, uraninite, gold, galena, altaite, magnetite, pentlandite, pyrargyrite, pyrrhotite, rutile","albite, biotite, quartz",Paleoproterozoic Rhyacian–Orosirian,,Paleoproterozoic: Siderian–Rhyacian,,"metamorphosed mafic volcanic rock, quartz-sericite rock",,,"biotitization, albitization",Dragon Mining Oy,,Dragon Mining (2015); Eilu and others (2012); ProMine (2013),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
873,8035,Juuka,Petäiskoski,"Panjavarra, Petäiskoski, other dikes", ,district or area, ,Finland,Pohjois-Karjala lääni,63.333,28.8297,Generalized location believed to be in vicinity of Petäiskoski dike.,carbonatite, ,"dike, vein","REE, Sr, Ba", , , , ,Occurrence, ,"bastnäsite, ancylite, monazite",barite,calcite,,"~1800 Ma (U-Pb, monazite)",,,,,,,,Up to 50 carbonatite dikes in the area.,EURARE (2014b); Goodenough and others (2016); O'Brien (2015); Tyni and others (2003),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
874,8036,Kaatiala, , , ,site, ,Finland,Etelä-Pohjanmaa lääni,62.6807,23.4849, ,other igneous deposit,pegmatite,pegmatite,"REE, Sn, Be, Ta, Nb, W, Li, Cs", , , , ,Occurrence, ,,"beryl, columbite, cassiterite, polylithionite-trilithionite",,,,,,,,,,Nortec Minerals,,Walker (2012),,,,No production(?),,,,,,,,,,,,,,,,,,,,,Europe
875,8098,Kaiserstuhl, , , ,intrusion or complex, ,Germany,Baden-Württemberg,48.09,7.67, ,carbonatite,volcanic to subvolcanic carbonatite, ,"Nb, P, REE, Sr", , , , ,Showing, ,"apatite, pyrochlore, perovskite","apatite, magnetite, pyrochlore, perovskite","calcite, melilite, forsterite, phlogopite, andradite",Miocene,,Miocene,13-18 Ma,"carbonatite, sövite",,"alkivite, tephrite, phonolite, nephelinite, essexite, melilitite",,,ProMine Portal (2013) reports that deposit is not economic.,Hornig-Kjarsgaard (1998); ProMine (2013); Sadeghi and others (2014),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
876,8271,Kallmoragruvan, , ,"Riddarhyttan district, Kallmorbergsfältet mining field",site,historic Pb-Zn-Cu mine,Sweden,Västmanlands län,60.106,15.96,Estimated location.,other igneous deposit,skarn, ,"Pb, Zn, Cu, Ag, Fe, REE", , , , ,Occurrence, ,"allanite, cerite","tremolite, talc",,,,Paleoproterozoic,,"dolomitic carbonate rock, calc-silicate rock",,,,,,Finland Geological Survey (2012); Hallberg and others (2012),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
877,8144,Kangerlussuaq, , , ,intrusion or complex, ,Greenland,Qaasuitsup Kommunia,66.5547,-52.1994,Estimated location.,alkaline igneous,peralkaline igneous-associated, ,"Nb, Ta, Be, Zr, REE",Y, , , ,Showing, ,"allanite, astrophyllite, catapleiite, chevkinite, eudialyte, lavenite, perovskite, titanite, zircon",,,Paleogene,,Paleogene,,,,,,,,GEUS and D'Appolonia (2017); Stensgaard and Sorensen (2013); Thomassen and Nielsen (2006),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
878,8116,Kaniani D, , , ,district or area(?),historic Al mine,Greece,Sterea Ellada,38.7095,22.3929, ,bauxite,"bauxite and Al-rich rocks (karst, laterite, Tikhvinsk types)", ,"Al, REE", , , , ,Occurrence, ,,"boehmite, goethite, hematite, chromite, diaspore, gibbsite","muscovite (illite), kaolinite",Upper Cretaceous: Turonian,,Upper Jurassic: Oxfordian,,limestone,,,,,,ProMine (2013),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
879,8117,Kaniani Mine, , ,Mt. Parnassus,district or area,district or area,Greece,Sterea Ellada,38.533,22.617, ,bauxite,bauxite, ,REE, , , , ,Occurrence, ,,,,,,,,,,,,,,Papastefanaki (2013),,,,No production(?),,,,,,,,,,,,,,,,,,,,,Europe
880,8118,Kaniani Z,Kaniani 2, , ,district or area(?),historic Al mine,Greece,Sterea Ellada,38.7161,22.4037, ,bauxite,"bauxite and Al-rich rocks (karst, laterite, Tikhvinsk types)", ,"Al, REE", , , , ,Occurrence, ,,"boehmite, goethite, hematite, chromite, diaspore, gibbsite","muscovite (illite), kaolinite",Upper Cretaceous: Turonian,,Upper Jurassic: Oxfordian,,limestone,,,,,,ProMine (2013),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
881,8037,Kännätsalo, , , ,site, ,Finland,Etelä-Karjala lääni,60.9728,27.7358, ,other igneous deposit, , ,REE, , , , ,Occurrence, ,,,,,,,,rapakivi granite,,,,,,Sarapää and others (2013),,,,No production(?),,,,,,,,,,,,,,,,,,,,,Europe
882,8145,Kap Simpson,Forchammer, , ,intrusion or complex, ,Greenland,Northeast Greenland National Park,72.2333,-22.5, ,alkaline igneous, ,"veins, other(?)","Pb, Mo, F, Nb, REE", , , , ,Occurrence, ,"bastnäsite, euxenite-(Y), fergusonite, monazite, samarskite",columbite-(Fe),quartz,Paleogene,,Paleogene,,syenogranite,,,hydrothermal,,,EURARE (2014c); EURARE (2017); Thomassen and Nielsen (2006); Thrane and others (2014); GEUS (2014),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
883,8272,Kårarvet, , , ,site,historic mine,Sweden,Dalarnas län,60.6108,15.5674, ,other igneous deposit,pegmatite, ,"Be, FLD, REE, Ta", , , , ,Showing, ,"gadolinite, allanite, yttrotantalite-(Y), monazite","beryl, feldspar, quartz, tantalite, topaz","albite, albite, muscovite",Paleoproterozoic,,Paleoproterozoic,,pegmatite,,,,,,EURARE (2017); Brotzen (1959); ProMine (2013),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
884,8038,Karhukoski,Puumala, , ,site, ,Finland,Etelä-Savo lääni,61.5036,28.6859,Estimated location.,other igneous deposit,felsic-intermediate igneous rock related, ,"REE, Th", , , , ,Occurrence, ,"monazite, zircon","zircon, rutile",,,,,,"garnet-cordierite-mica gneiss, granite",,,,,,Al-Ani and Pakkanen (2013); EURARE (2017); Sarapää and others (2013),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
885,8146,Karrat, ,"includes Niaqornakassak, Umiammakku Nunaa", ,district or area(?),mineralization,Greenland,Qaasuitsup Kommunia,71.6427,-52.8967, ,alkaline igneous, , ,REE, , , , ,Deposit, ,"bastnäsite, monazite, allanite",pyrochlore,,,,Paleoproterozoic,,"banded carbonates, amphibolite",Karrat Grp,,,Avannaa Resources Ltd.,,Sorensen and Kalvig (2011); Weng and others (2015),,,,No production,,,,,26,,1.36,,,,,,,,,,,Sorensen and Kalvig (2011),,,Europe
886,8039,Katajakangas,"Pieni Katajakangas, Otanmäki Katajakangas, Katajakanka", , ,site, ,Finland,Kainuu lääni,64.1283,27.0223, ,alkaline igneous,alkaline igneous associated, ,"REE, Nb, Zr, Th, U", , , , ,Deposit,small deposit,"allanite-(Ce), fergusonite-(Y), bastnäsite-(Ce), columbite, monazite, ancylite, parisite, euxenite-(Y), pyrochlore, yttrocolumbite-(Y)","zircon, columbite, thorite, tantalite, magnetite, pyrite, fluorite, galena, hessite, naumannite, chalcopyrite, pyrrhotite, sperrylite, kotulskite","quartz, feldspar, riebeckite",Paleoproterozoic Rhyacian–Orosirian,,Paleoproterozoic: Rhyacian–Orosirian,,alkaline schist and gneiss,,"alkaline pyroxenite, gabbro",metasomatism,,Small occurrence 0.2-1.4 m thick; mineralization occurs as narrow lenses of quartz-feldspar gneiss with riebeckite and alkaline pyroxene in the contact zone between metasediments and gneiss.,Al-Ani and Pakkanen (2013); Al-Ani and Sarapää (2011a); Al-Ani and Sarapää (2014a); EURARE (2014b); Finland Geological Survey (2012); Sarapää and others (2013); Schlöglova and others (2014),,,,No production,,,,,0.46 estimated,,2.71,,,,,,,,,"0.76% NbO, 1.13% ZrO2",,Schlöglova and others (2014),Not compliant,,Europe
887,8040,Kaulus, , ,Sokli,district or area, ,Finland,Lapin lääni,67.7442,29.3638,Estimated location.,carbonatite, ,dikes,"P, REE", , , , ,Occurrence, ,"ancylite-(Ce), calcioancylite-(Ce), monazite, allanite, bastnäsite-(Ce)","apatite, ilmenite, magnetite, barite, strontianite, pyrite","calcite, amphibole, richterite, phlogopite, clay, albite, dolomite",,,,,"fenite, metasomatite",,carbonatite,"hydrothermal, metasomatic",,,Al-Ani and Sarapää (2014b); Sarapää and others (2014),,,16 diamond drill holes in 2 profiles by Finland Geological Survey in 2012,No production,,,,,,,,,,,,,,,,,,,,,Europe
888,8273,Kirunavaara,Kiruna, , ,site,Fe-P(?) mine,Sweden,Norrbottens län,67.8328,20.1902, ,iron oxide-apatite,"igneous magnetite-apatite, Kiruna, iron-oxide-apatite", ,"P, Fe, REE", , , , ,Occurrence, ,"fluorapatite, monazite-(Ce), allanite-(Ce)","magnetite, hematite",,,,,,metavolcanic rocks,,,,,,EURARE (2014g); Finland Geological Survey (2012); Frietsch and Perdahl (1995); Sadeghi and others (2014),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
889,8042,Kiviniemi, , , ,intrusion or complex, ,Finland,Pohjois-Savo lääni,62.8152,26.7038, ,other igneous deposit, , ,"Sc, Zr, REE",Y is dominant REE, , , ,Deposit,small deposit,apatite,"hedenbergite, hastingsite, zircon, apatite, ilmenite, pyrite","fayalite, garnet, feldspar, quartz",Paleoproterozoic: Orosirian,,Paleoproterozoic: Orosirian,"1857 ± 2 Ma (U-Pb, zircon)","fayalite ferrogabbro, fayalite, ferrogabbro, granite",,,,,,Halkoaho and others (2013); Hokka and Halkoaho (2014),,,,No production,,,,,3.7,,,83 g/t Y,,,,,,,,"1751 g/t Zr, 150 g/t Sc",,Hokka and Halkoaho (2014),Not compliant,Cutoff is 40 g/t Sc,Europe
890,8202,Kodal, , , ,site, ,Norway,Vestfold,59.227,10.042, ,other igneous deposit,igneous apatite-iron-oxide , ,"P, Fe, Ti, REE", , , , ,Deposit, ,fluorapatite,"fluorapatite, titanifeous magnetite, ilmenite, pyrite, titanite","pyroxene, amphibole, olivine, biotite, feldspar, nepheline, calcite, talc",Permian,,Permian,290 Ma,"pyroxenite, jacupirangite dike",,larvikite,,Kodal Minerals plc,Apatite in the pyroxenites contains >6000 ppm total REE; active exploration (2015).,British Sulphur Corp. Ltd. (1987); Bugge (1978); EURARE (2014e); EURARE (2017); Ihlen and others (2014); Möller (1989a); Notholt (1979); SNL Metals & Mining (2015),,,,No production,,,,,70 indicated+inferred,0.12 indicated+inferred,0.17,,,,,,,,,,,EURARE (2014e),Not compliant,,Europe
891,8044,Korsnäs, , , ,site,historic Pb-REE mine,Finland,Pohjanmaa lääni,62.8129,21.2394, ,other igneous deposit; carbonatite,"skarn, carbonatite-associated","dike, veins","Pb, REE, Zn", ,80–90% Ce+La+Nd, , ,Deposit, ,"monazite-(Ce), apatite, carbocernaite, allanite, fergusonite, britholite, ancylite-(Ce), bastnäsite-(Ce), barite, barytocalcite","galena, apatite, fluorite, barite, marcasite, coffinite, uraninite, pyrite","calcite, feldspar, diopside, scapolite",Paleoproterozoic,,Paleoproterozoic: Rhyacian–Orosirian,"1830 (U-Pb, titanite from Svartören dike)","mica gneiss, calc-silicate gneiss, skarn, carbonatite",,granite,"hydrothermal, chloritization",Tasman Metals Ltd. (2013),Ore body is ~20 m thick with a strike length of >300 m and extends to a vertical depth of 175 m; REE content of apatite is >6%.,Al-Ani and others (2010b); Al-Ani and Pakkanen (2013); Al-Ani and Sarapää (2013); EURARE (2014b); EURARE (2017); Finland Geological Survey (2012); Gieré (1996); Isokangas (1978); Neary and Highley (1984); Papunen and Lindsjö (1972); Roskill Information Services (1988); Sarapää and others (2013),,,underground,Past byproduct producer,,1959–1972,Tasman Metals Ltd. (2013),Total production: 0.87 Mt at 0.83% REO and3.6% Pb.,,,,,,,,,,,,,,Neary and Highley (1984),Not compliant,,Europe
892,8045,Korsnäs South, , , ,site(?), ,Finland,Pohjanmaa lääni,62.8155,21.24, ,other igneous deposit; carbonatite(?),"skarn, carbonate replacement, carbonatite-related(?)", ,"Pb, REE", , , , ,Deposit, ,"monazite-(Ce), apatite, allanite, carbocernaite","galena, apatite, fluorite, barite, marcasite, coffinite, uraninite, pyrite","calcite, feldspar",,,,,,,,,Tasman Metals Ltd. (2012a),Active exploration.,SNL Metals & Mining (2015); Tasman Metals Ltd. (2010); Walker (2012),,,,Past byproduct producer,Outokumpu worked Korsnäs South for lead and rare earths during the 1960's.,,,,,,,,,,,,,,,,,,,,Europe
893,8320,Korsun-Novomirgorodskii pluton margin, , , ,intrusion or complex, ,Ukraine,Kirovohrads'ka Oblast',48.233,31.283, ,alkaline igneous, , ,"Zr, Ti, Nb, REE", , , , ,Occurrence, ,"allanite, chevkinite","zircon, ilmenite, apatite","fayalite, hedenbergite",,,,,"monzosyenite, syenite, rapakivi granite, gabbro, granite",,,,,"REE and Zr concentrated in syenite. Syenite enclosed by rapakivi granite; as much as 0.2% LREE, 0.1-0.2% Zr, as much as 0.02% Nb is present.",Kogarko and others (1995),,,,No production(?),,,,,,,,,,,,,,,,,,,,,Europe
894,8046,Kortejärvi, , , ,intrusion or complex, ,Finland,Pohjois-Pohjanmaa lääni,65.8795,27.6499, ,carbonatite,carbonatite associated, ,"P, REE", , , , ,Showing, ,"allanite-(Ce), apatite, bastnäsite, columbite, monazite","apatite, columbite, pyrite, ilmenite","calcite, dolomite, phlogopite, quartz",Paleoproterozoic,,Paleoproterozoic,2000 Ma,"carbonatite, glimmerite, olivine-magnetite rock",,Paleoproterozoic mafic volcanic rocks,,,"Intrusion is about 60 m thick, and 2 km long",Al-Ani and others (2010a); Al-Ani and Sarapää (2011a); Al-Ani and Sarapää (2013); Lintinen (2014); Sarapää and others (2013),1971-1972,,,No production(?),,,,,,,,,,,,,,,,,,,,,Europe
895,8020,Kracovice, , ,Třebíč Pluton deposits,site, ,Czech Republic,Vysocina,49.191,15.8481,Estimated location.,other igneous deposit,NYF + LCT mixed pegmatite, ,"Li, REE, Sc", , , , ,Occurrence, ,"fergusonite-(Y), samarskite-(Y), monazite-(Ce), xenotime-(Y), allanite-(Ce), Y-bearing spessartine, calciosamarskite, hinnganite-(Y), pyrochlore-(Y)","zinnwaldite, masutomilite, elbaite, polylithionite, titanite, beryl, fluorite, cassiterite, zircon, rutile, columbite-(Fe), hambergite, scheelite","potassic feldspar, plagioclase, quartz, microcline (amazonite), biotite, muscovite, tourmaline, topaz, garnet",,,,,graphitic gneiss,,,,,,Čopjaková and others (2013); Novák and others (2012); Škoda and Novák (2012),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
896,8321,Krasnokutskaja, , , ,district or area, ,Ukraine,Kirovohrads'ka Oblast',50.0652,35.1863,Estimated location.,alluvial placer, , ,"Ti, Zr, REE, Th", , , , ,Occurrence, ,monazite,"ilmenite, zircon",,,,,,,,,,,,Valter and others (2013),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
897,8147,Kringlerne,"Kangerluarsuk, Killavaat Alannguat, Tanbreez", ,limaussaq,intrusion or complex,geologic deposit,Greenland,Kommune Kujalleq,60.8667,-45.8667, ,alkaline igneous,peralkaline igneous-associated, ,"Nb, Ta, REE, Zr, FLD",Y; HREE comprises up to 30% of TREE, , , ,Deposit, ,"eudialyte, nacareniobsite-(Ce), catapleiite","catapleiite, feldspar","nepheline, sodalite, alkali feldspar, arfvedsonite",Mesoproterozoic,,Mesoproterozoic,1130 ± 50 Ma (Sm-Nd isochron),kakortokite (agpaitic nepheline syenite),,,,TANBREEZ Mining Greenland A/S,29 cyclic layers of kakortokite with a total thickness of approximately 200 m make up the bottom cumulates of the intrusion; karkorite is exposed over an area of 5 by 2.5 km and from sea level to 400 m above sea level.,EURARE (2014c); GEUS (2014); Sadeghi and others (2014); Schonwandt and others (2014); Thrane and others (2014); Walker (2012),,,proposed open pit,No production,At feasibility stage (2015).,,,,"4,300 inferred",28 inferred,0.65,,,,,,,,,"0.2% Nb2O3, 1.8% Zr2O5",,Thrane and others (2014),JORC compliant,,Europe
898,8021,Krupka-Graupen,Krupka, , ,district or area,historic district,Czech Republic,Ústecky,50.6833,13.8667, ,other igneous deposit,"granitic veins and stockworks, greisen","stockwork, veins","Sn, Cu, Li, Mo, REE, Ta, U, W", , , , ,Occurrence, ,"monazite, florencite, xenotime","aikinite, anglesite, annabergite, antimony, silver, arsenopyrite, azurite, beryl, bismite, bismuthinite, brochantite, ilsemannite, cassiterite, chalcocite, chalcopyrite, columbite, emplectite, erythrite, ferberite, galena, goethite, hematite, langite, polylithionite-trilithionite, loellingite, magnetite, malachite, mixite, molybdenite, powellite, pyrite, scheelite, sphalerite, stannite, tennantite, wolframite, wulfenite, tapiolite, jordisite, molybdite, metatorbernite",,Upper Paleozoic,,Upper Paleozoic,,"granite, greisen",,,"greisenization, silicification",,,ProMine (2013),,,,No production(?),,,,,,,,,,,,,,,,,,,,,Europe
899,8048,Kuusamo, ,"Honkilehto, Hangaslampi, Juomasuo, Meurastuksenaho", ,district or area, ,Finland,Pohjois-Pohjanmaa lääni,66.1311,28.8186, ,unclassified, , ,"Au, Co, Cu, REE, U, Pb", , , , ,Occurrence, ,"bastnäsite, allanite-(Ce), davidite-(Ce)","apatite, davidite, pyrite, magnetite","dolomite, magnesite",,,,,,,,,Dragon Mining Oy,Active exploration.,Al-Ani and others (2010a); SNL Metals & Mining (2015),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
900,8084,La Clarté, , , ,site,small historic mine,France,Bretagne,48.8124,-3.4751, ,other igneous deposit,pegmatites, ,"Mo, REE", , , , ,Occurrence, ,allanite,molybdenite,,,,,,"granite, pegmatite",,,,,,ProMine (2013),,,,No production(?),,,,,,,,,,,,,,,,,,,,,Europe
901,8050,Laajakoski, , , ,site, ,Finland,Kymenlaakso lääni,60.5572,26.7951,Estimated location.,other igneous deposit, , ,REE, , , , ,Occurrence, ,,,,,,,,rapakivi granite,,,,,,Sarapää and others (2013),,,,No production(?),,,,,,,,,,,,,,,,,,,,,Europe
902,8051,Laivajoki, , , ,intrusion or complex, ,Finland,Lapin lääni,65.9632,27.7361, ,carbonatite, , ,"P, REE", , , , ,Occurrence, ,"apatite, monazite, allanite-(Ce), bastnäsite, xenotime, REE-bearing zircon","apatite, magnetite","calcite, dolomite, phlogopite",Paleoproterozoic,,Paleoproterozoic,2000 Ma,"silicocarbonatite, calcite-carbonatite, dolomite-carbonatite",,Paleoproterozoic mafic volcanic rocks,,Tasman Metals Ltd. (2015),Intrusion is about 20 m thick and 4 km long.,Al-Ani and others (2010a); Al-Ani and Sarapää (2011a); Al-Ani and Sarapää (2013); Sarapää and others (2013); SNL Metals & Mining (2015),1971-1972,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
903,8052,Lamujärvi, , , ,intrusion or complex, ,Finland,Pohjois-Pohjanmaa lääni,64.0007,26.2105,Estimated location.,alkaline igneous,alkaline igneous associated, ,"REE, Zr, Nb", , , , ,Showing, ,"allanite, apatite, monazite, calcite",,,Paleoproterozoic,,Paleoproterozoic,1850 Ma,syenite,,"gabbro, diorite, monzonite",,,"Three minor alkaline plutons; elongate bodies 1–2 km wide and 3–7 km long; intrusions are strongly deformed, foliated, and metamorphose (upper amphibolite facies).",Al-Ani and Pakkanen (2013); EURARE (2014b); Sarapää and others (2013),,,,No production(?),,,,,,,,,,,,,,,,,,,,,Europe
904,8085,Larmont,Lhermont, , ,site,small historic mine,France,Limousin,45.9846,1.4007, ,other igneous deposit,pegmatite, ,"GRT, Be, Li, REE, Ta", , , , ,Occurrence(?), ,xenotime,"beryl, polylithionite-trilithionite, petalite, pyrochlore, tantalite","apatite, feldspar, quartz",,,,,,,,,,,ProMine (2013),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
905,8227,Lazarea, , ,Ditrău Complex,district or area, ,Romania,Harghita,46.7585,25.5619,Estimated location.,alkaline igneous, , ,REE, , , , ,Occurrence, ,,,,,,,,syenite,,,,,,Hirtopanu and others (2013),,,,No production,,,,,,,,,,,,,,,,,,,,,Europe
906,8088,Le Gras, , , ,site,small historic mine,France,Bretagne,47.755,-1.73974, ,alluvial placer, , ,REE, , , , ,Occurrence(?), ,monazite,,,,,Quaternary,,alluvium,,,,,,EURARE (2017); GEUS and D'Appolonia (2017); ProMine (2013),,,,No production(?),,,,,,,,,,,,,,,,,,,,,Europe
907,8053,Lehmikari,Rovanieni Lehmikari, , ,intrusion or complex, ,Finland,Lapin lääni,67.122,25.0509, ,other igneous deposit, , ,"P, REE", , , , ,Showing, ,"fluorapatite, monazite, allanite, ancylite, thorite, zircon, barite","fluorapatite, zircon, thorite, titanite, barite",,,,,,appinitic diorite,,,,,,Al-Ani and Sarapää (2011a); Al-Ani and Sarapää (2013); Sarapää and others (2013),,,,No production(?),,,,,,,,,,,,,,,,,,,,,Europe
908,8099,Lerau, , , ,site, ,Germany,Bayern,49.6057,12.27,Estimated location.,alluvial placer,alluvial-fluvial placer, ,"Ti, GAR, REE", , , , ,Occurrence, ,monazite,"ilmenite, zircon, rutile, anatase, garnet, tourmaline, rutile, magnetite, gold, titanite, sillimanite, cassiterite, ferrocolumbite","epidote, amphibole",Cenozoic,,Cenozoic,,alluvial sediments,,,,,"Source rocks are gneiss, migmatite, porphyry, and Tertiary sediments.",Dill (2007); Dill and others (2012),,,,No production(?),,,,,,,,,,,,,,,,,,,,,Europe
909,8121,Loutra Eleftheron, , , ,site,site,Greece,Anatoliki Makedonia Kai Thraki,40.7271,24.1003,Placers are on- and off-shore.,shoreline placer,beach sands and offshore placers, ,REE, , , , ,Deposit,very small deposit,"monazite, allanite","cassiterite, goethite, garnet, ilmenite, lepidocrocite, pyrolusite, magnetite, marcasite, mica, gold, psilomelane, rutile, stannite, titanite, uraninite, wolframite, zircon","epidote, hematite, mica, feldspar, quartz",Quaternary,,Quaternary,,beach sand,,,,,,EURARE (2017); ProMine (2013),,,,No production,,,,,,,,,,,,,,,,,,EURARE (2017),Not compliant,35.523 t TREE estimated resource,Europe
910,8054,Lövbole, , , ,site, ,Finland,Varsinais-Suomi lääni,60.1409,22.5527, ,other igneous deposit,NYF-pegmatite, ,REE, , , , ,Occurrence, ,,,,,,,,,,,,,,Sarapää and others (2013),,,,No production(?),,,,,,,,,,,,,,,,,,,,,Europe
