OBJECTID,ID_No,Name,Name_Other,Components,Part_of,Rec_Type,Rec_Note,Country,State_Prov,Latitude,Longitude,Loc_Note,Dep_Type,Dep_Note,Dep_Form,Commods,HREE_Note,LREE_Note,REE_Ratio,REE,Status,Stat_Note,REE_Mins,Sig_Mins,Oth_Mins,Age_Mzn,Age_Ma,Host_Age,HAge_Ma,Host_Lith,Host_Unit,Assoc_Rock,Alteration,Company,Comments,Ref_List,Discov_Yr,Expl_Note,Mine_Meth,P_Status,PStat_Note,P_Years,P_refs,P_Note,RR_Ore_Mt,RR_TREO_Mt,RR_TREOgrd,RR_REE_grd,RR_Cutoff,RR_HM_Mt,RR_HM_pct,RR_min_Mt,RR_min_pct,RR_mon_Mt,RR_mon_pct,RR_oth_grd,RR_Yr_Est,RR_Refs,RR_RegCode,RR_Note,Region
1844,6380,Regans Ford, ,"Regans Ford Main, Regans Ford Strand 61", ,district or area(?), ,Australia,Western Australia,-30.9426,115.6701, ,shoreline placer, , ,"Ti, Zr, REE", , , , ,Occurrence, ,monazite,"ilmenite, zircon, (leucoxene)",quartz,,,,,beach sand,,,,,Heavy mineral sands of Gingin shoreline; up to 15% heavy minerals. Deposit is up to 3.5 km long and 30-150 m wide.,Baxter (1977); Western Australia Department of Mineral and Petroleum Resources (2012),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1845,6381,Resources Group, , ,Cooljarloo West,district or area, ,Australia,Western Australia,-30.6941,115.3783, ,shoreline placer, , ,"Ti, Zr, REE, GAR", , , , ,Occurrence, ,monazite,"ilmenite, zircon, rutile, (leucoxene), garnet",,,,,,,,,,,Heavy mineral sands of Munbinea shoreline.,Western Australia Department of Mineral and Petroleum Resources (2012),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1846,6565,Rimu, , , ,district or area,historic Au mine,New Zealand,West Coast,-42.7559,170.9633, ,alluvial placer, , ,"Au, REE", , , , ,Showing, ,monazite,gold,sillimanite,Pleistocene,,Pleistocene,,gravel,,,,,,Christie and others (2010); Overstreet (1967),,,dredge,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1847,6384,Rockslider, , ,Browns Range,site,outcrop,Australia,Western Australia,-18.9711,128.9352, ,other igneous deposit(?), , ,REE, , , , ,Showing, ,,,,,,,,,,,,Northern Minerals Ltd.,,Western Australia Department of Mineral and Petroleum Resources (2012),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1848,6385,Rocky Point, , , ,district or area, ,Australia,Queensland,-24.2768,151.95, ,shoreline placer, , ,"Ti, Zr, REE", , , , ,Occurrence, ,monazite,"rutile, zircon, ilmenite",quartz,,,,,beach sand,,,,,,Geoscience Australia (2013); Hoatson and others (2011); Wallis and Oakes (1990),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1849,6386,Rodds Peninsula, , , ,district or area,historic HM mine,Australia,Queensland,-24.0268,151.7,Deposit is now in a National Park.,shoreline placer, , ,"Ti, Zr, REE", , , , ,Occurrence, ,monazite,"ilmenite, zircon, rutile",quartz,,,,,"beach, beach ridge, and dune sand",,,,,Deposit lies within Eurimbula National Park.,Denaro (2011); Geoscience Australia (2013); Hoatson and others (2011); von Gnielinski (2015),1963,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1850,6387,Roelands North, , , ,district or area, ,Australia,Western Australia,-33.2938,115.8318, ,shoreline placer, , ,"Ti, Zr, REE", , , , ,Occurrence, ,monazite,"ilmenite, (leucoxene) zircon, rutile",,,,,,,,,,,Heavy mineral sands of the Yogunup shoreline.,Western Australia Department of Mineral and Petroleum Resources (2012),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1851,6388,Roelands South, , , ,district or area, ,Australia,Western Australia,-33.3035,115.8295, ,shoreline placer, , ,"Ti, Zr, REE", , , , ,Occurrence, ,monazite,"ilmenite, (leucoxene) zircon, rutile",,,,,,,,,,,Heavy mineral sands of the Yogunup shoreline.,Western Australia Department of Mineral and Petroleum Resources (2012),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1852,6389,Rogue, , ,Browns Range,site,outcrop,Australia,Western Australia,-19.0096,128.9622, ,other igneous deposit(?), , ,REE, , , , ,Showing, ,,,,,,,,,,,,Northern Minerals Ltd.,,Western Australia Department of Mineral and Petroleum Resources (2012),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1853,6390,Round Hill Head-Deepwater, , , ,district or area, ,Australia,Queensland,-24.1837,151.8915, ,shoreline placer, , ,"Ti, Zr, REE", , , , ,Occurrence, ,monazite,"rutile, zircon, ilmenite",quartz,,,,,beach sand,,,,,,Geoscience Australia (2013); Hoatson and others (2011),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1854,6391,Rover Range, , ,Glenarty Creek project,district or area(?), ,Australia,Western Australia,-34.1993,115.1862, ,shoreline placer, , ,"Ti, Zr, REE", , , , ,Occurrence, ,monazite,"ilmenite, (leucoxene), rutile, zircon",,,,,,beach sand,,,,,,Australia Minerals & Mining Group Ltd. (2013); Geoscience Australia (2013); Hoatson and others (2011),,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
1855,6392,Rownack, , , ,district or area,active HM mine,Australia,Victoria,-35.1686,142.4699, ,shoreline placer, , ,"Ti, Zr, REE(?)", , , , ,Showing, ,monazite,"ilmenite, rutile, zircon","topaz, tourmaline",,,,,sand,,,,Iluka Resources,,"Victoria Department of State Development, Business and Innovation (2014)",,,,No production,,,,,,,,,,,,,,,,,,,,,Oceania
